ts,reaction_time,time_to_me,success
2019-06-03 09:00:04.440260387+02:00,597,4320,True
2019-06-03 09:00:04.446142222+02:00,629,4425,True
2019-06-03 09:00:04.468872143+02:00,587,5773,False
2019-06-03 09:00:04.488960363+02:00,569,4376,True
2019-06-03 09:00:04.599329382+02:00,610,4388,True
2019-06-03 09:00:04.721368495+02:00,589,4417,True
2019-06-03 09:00:04.793606626+02:00,573,4403,True
2019-06-03 09:00:05.151933920+02:00,637,4371,True
2019-06-03 09:00:05.316300947+02:00,622,4671,False
2019-06-03 09:00:05.361397974+02:00,610,4292,True
2019-06-03 09:00:05.407709236+02:00,573,4331,True
2019-06-03 09:00:05.800252238+02:00,568,4405,True
2019-06-03 09:00:05.832915799+02:00,561,4369,True
2019-06-03 09:00:05.939977512+02:00,579,4474,True
2019-06-03 09:00:06.003355832+02:00,594,4440,True
2019-06-03 09:00:06.056228551+02:00,581,4694,True
2019-06-03 09:00:06.117343328+02:00,622,4540,False
2019-06-03 09:00:06.224012685+02:00,581,4465,True
2019-06-03 09:00:06.232786289+02:00,590,4468,True
2019-06-03 09:00:06.678680397+02:00,608,4469,True
2019-06-03 09:00:06.864996540+02:00,633,4423,True
2019-06-03 09:00:06.938008060+02:00,626,4407,True
2019-06-03 09:00:07.221423887+02:00,554,4568,True
2019-06-03 09:00:07.347708193+02:00,632,4437,True
2019-06-03 09:00:07.520100200+02:00,572,4474,True
2019-06-03 09:00:07.570729467+02:00,628,4437,True
2019-06-03 09:00:07.589138365+02:00,567,4367,True
2019-06-03 09:00:07.689409450+02:00,610,4967,False
2019-06-03 09:00:07.717154885+02:00,591,4468,True
2019-06-03 09:00:07.773894816+02:00,598,4406,True
2019-06-03 09:00:07.892011641+02:00,613,4472,True
2019-06-03 09:00:07.897121114+02:00,576,4331,True
2019-06-03 09:00:07.956668011+02:00,561,4487,True
2019-06-03 09:00:08.283113655+02:00,589,4495,True
2019-06-03 09:00:08.433378628+02:00,554,4454,True
2019-06-03 09:00:08.515395826+02:00,612,5791,False
2019-06-03 09:00:08.929013778+02:00,601,4389,True
2019-06-03 09:00:09.029417184+02:00,587,4707,False
2019-06-03 09:00:09.366991405+02:00,605,4430,True
2019-06-03 09:00:09.598604996+02:00,602,4495,True
2019-06-03 09:00:10.113520097+02:00,582,4286,True
2019-06-03 09:00:10.130781276+02:00,604,4347,True
2019-06-03 09:00:10.177086690+02:00,630,4408,True
2019-06-03 09:00:10.211623792+02:00,622,4453,True
2019-06-03 09:00:10.255352858+02:00,588,4455,True
2019-06-03 09:00:10.387604345+02:00,643,4532,False
2019-06-03 09:00:10.593149050+02:00,635,5593,False
2019-06-03 09:00:10.593903802+02:00,607,4816,False
2019-06-03 09:00:10.941849483+02:00,638,4436,True
2019-06-03 09:00:10.960646119+02:00,579,4370,True
2019-06-03 09:00:11.056582585+02:00,592,4332,True
2019-06-03 09:00:11.083282487+02:00,635,4517,False
2019-06-03 09:00:11.530223624+02:00,622,4606,True
2019-06-03 09:00:11.704785214+02:00,588,4416,True
2019-06-03 09:00:11.896098600+02:00,589,4448,True
2019-06-03 09:00:11.927600638+02:00,607,4422,True
2019-06-03 09:00:12.013004069+02:00,566,4405,True
2019-06-03 09:00:12.080577127+02:00,588,4465,True
2019-06-03 09:00:12.126328821+02:00,628,4380,True
2019-06-03 09:00:12.242554675+02:00,599,4475,True
2019-06-03 09:00:12.445794876+02:00,586,4426,True
2019-06-03 09:00:12.494982265+02:00,616,4395,True
2019-06-03 09:00:12.495724945+02:00,587,4387,True
2019-06-03 09:00:12.582191065+02:00,602,4462,True
2019-06-03 09:00:12.832075214+02:00,617,4468,True
2019-06-03 09:00:12.835851891+02:00,608,4524,False
2019-06-03 09:00:12.857210116+02:00,566,4639,False
2019-06-03 09:00:12.867658779+02:00,609,4354,True
2019-06-03 09:00:12.876060952+02:00,598,4478,True
2019-06-03 09:00:12.936758268+02:00,571,4548,True
2019-06-03 09:00:13.122952883+02:00,564,4435,True
2019-06-03 09:00:13.311144854+02:00,574,4501,True
2019-06-03 09:00:13.608508772+02:00,612,4748,True
2019-06-03 09:00:13.707952154+02:00,601,4500,True
2019-06-03 09:00:13.710673271+02:00,621,4314,True
2019-06-03 09:00:13.749413112+02:00,628,4411,True
2019-06-03 09:00:13.784629855+02:00,566,4352,True
2019-06-03 09:00:13.872741747+02:00,607,4745,False
2019-06-03 09:00:14.116230285+02:00,625,4436,True
2019-06-03 09:00:14.191157415+02:00,646,4587,False
2019-06-03 09:00:14.511576162+02:00,626,4482,True
2019-06-03 09:00:14.849822981+02:00,566,4423,True
2019-06-03 09:00:15.093634896+02:00,630,4559,False
2019-06-03 09:00:15.150124173+02:00,590,5395,False
2019-06-03 09:00:15.303068601+02:00,618,4459,True
2019-06-03 09:00:15.470315988+02:00,611,4564,True
2019-06-03 09:00:15.472976241+02:00,582,4410,True
2019-06-03 09:00:15.531431669+02:00,588,4491,True
2019-06-03 09:00:15.976842560+02:00,648,4381,True
2019-06-03 09:00:16.043445043+02:00,619,4398,True
2019-06-03 09:00:16.434059568+02:00,608,4454,True
2019-06-03 09:00:16.434701246+02:00,611,4340,True
2019-06-03 09:00:16.469742722+02:00,599,4329,True
2019-06-03 09:00:16.798529779+02:00,592,4465,True
2019-06-03 09:00:16.956312382+02:00,562,4462,True
2019-06-03 09:00:16.984289630+02:00,628,4375,True
2019-06-03 09:00:17.029146956+02:00,601,4606,False
2019-06-03 09:00:17.030952376+02:00,605,5275,False
2019-06-03 09:00:17.131818762+02:00,603,4379,True
2019-06-03 09:00:17.288638009+02:00,644,4437,True
2019-06-03 09:00:17.372479244+02:00,594,4336,True
2019-06-03 09:00:17.409002748+02:00,609,4308,True
2019-06-03 09:00:17.426147859+02:00,599,4734,False
2019-06-03 09:00:17.689891478+02:00,608,4393,True
2019-06-03 09:00:17.755381698+02:00,591,4604,False
2019-06-03 09:00:17.848840779+02:00,614,4322,True
2019-06-03 09:00:18.177072290+02:00,562,4371,True
2019-06-03 09:00:18.211176420+02:00,631,4446,True
2019-06-03 09:00:18.282075239+02:00,589,5059,False
2019-06-03 09:00:18.329321045+02:00,608,4390,True
2019-06-03 09:00:18.355811233+02:00,621,4305,True
2019-06-03 09:00:18.450586584+02:00,583,4351,True
2019-06-03 09:00:18.466761677+02:00,555,4630,False
2019-06-03 09:00:18.479378314+02:00,566,4410,True
2019-06-03 09:00:18.543222430+02:00,623,4365,True
2019-06-03 09:00:18.553571477+02:00,550,4485,True
2019-06-03 09:00:18.610295384+02:00,619,4519,True
2019-06-03 09:00:18.612203733+02:00,593,4405,True
2019-06-03 09:00:18.627507668+02:00,624,4466,True
2019-06-03 09:00:18.732635781+02:00,602,4309,True
2019-06-03 09:00:18.764785945+02:00,576,4415,True
2019-06-03 09:00:18.847597655+02:00,624,4465,True
2019-06-03 09:00:18.875577788+02:00,595,4319,True
2019-06-03 09:00:19.007692562+02:00,607,4375,True
2019-06-03 09:00:19.217133202+02:00,593,4544,False
2019-06-03 09:00:19.226513498+02:00,614,5382,False
2019-06-03 09:00:19.226918382+02:00,580,5148,False
2019-06-03 09:00:19.275046662+02:00,605,4430,True
2019-06-03 09:00:19.286358333+02:00,590,4429,True
2019-06-03 09:00:19.452713533+02:00,590,4403,True
2019-06-03 09:00:19.553174538+02:00,592,4448,True
2019-06-03 09:00:19.633281959+02:00,589,4453,True
2019-06-03 09:00:19.730567841+02:00,634,4433,True
2019-06-03 09:00:19.772445516+02:00,609,5410,False
2019-06-03 09:00:19.798357377+02:00,626,4487,False
2019-06-03 09:00:19.834468907+02:00,592,4371,True
2019-06-03 09:00:19.964652411+02:00,638,6049,False
2019-06-03 09:00:20.147046947+02:00,638,4450,True
2019-06-03 09:00:20.174972584+02:00,563,4400,True
2019-06-03 09:00:20.323676346+02:00,571,4416,True
2019-06-03 09:00:20.388103960+02:00,613,4422,True
2019-06-03 09:00:20.396154536+02:00,613,4397,True
2019-06-03 09:00:20.465702255+02:00,587,4510,True
2019-06-03 09:00:20.772470923+02:00,621,4490,True
2019-06-03 09:00:20.788046177+02:00,606,4470,True
2019-06-03 09:00:20.836136322+02:00,583,4407,True
2019-06-03 09:00:20.956680397+02:00,635,4323,True
2019-06-03 09:00:20.973154696+02:00,576,4516,True
2019-06-03 09:00:21.163204171+02:00,571,5320,False
2019-06-03 09:00:21.187205118+02:00,606,4372,True
2019-06-03 09:00:21.482212461+02:00,594,4529,False
2019-06-03 09:00:21.506626989+02:00,595,4376,True
2019-06-03 09:00:21.649270613+02:00,601,4464,True
2019-06-03 09:00:21.970976016+02:00,635,5779,False
2019-06-03 09:00:22.016464817+02:00,598,4473,True
2019-06-03 09:00:22.063944268+02:00,634,4452,True
2019-06-03 09:00:22.116544486+02:00,647,4420,True
2019-06-03 09:00:22.397741026+02:00,567,4365,True
2019-06-03 09:00:22.666248459+02:00,595,4307,True
2019-06-03 09:00:22.885400670+02:00,587,4341,True
2019-06-03 09:00:23.061030149+02:00,608,4403,True
2019-06-03 09:00:23.172455469+02:00,560,4437,True
2019-06-03 09:00:23.307702130+02:00,648,4433,True
2019-06-03 09:00:23.421229554+02:00,555,4284,True
2019-06-03 09:00:23.492624855+02:00,633,4400,True
2019-06-03 09:00:23.568772091+02:00,598,4407,True
2019-06-03 09:00:23.576325906+02:00,622,4547,False
2019-06-03 09:00:23.651780785+02:00,558,5060,True
2019-06-03 09:00:23.709474683+02:00,573,4458,True
2019-06-03 09:00:23.734660447+02:00,604,4596,False
2019-06-03 09:00:24.043998219+02:00,567,4399,True
2019-06-03 09:00:24.155293781+02:00,610,4481,True
2019-06-03 09:00:24.171220321+02:00,622,4519,True
2019-06-03 09:00:24.192349095+02:00,619,4414,True
2019-06-03 09:00:24.210457470+02:00,598,4386,True
2019-06-03 09:00:24.225863872+02:00,568,4449,True
2019-06-03 09:00:24.346736577+02:00,635,4515,True
2019-06-03 09:00:24.576350399+02:00,576,4585,True
2019-06-03 09:00:24.633650420+02:00,593,4447,True
2019-06-03 09:00:24.649267028+02:00,591,4577,False
2019-06-03 09:00:24.898169960+02:00,590,4539,True
2019-06-03 09:00:24.913145718+02:00,562,5447,False
2019-06-03 09:00:25.027601538+02:00,569,4410,True
2019-06-03 09:00:25.151393509+02:00,610,4497,True
2019-06-03 09:00:25.306702154+02:00,590,4427,True
2019-06-03 09:00:25.416035583+02:00,619,4394,True
2019-06-03 09:00:25.472191374+02:00,605,5099,False
2019-06-03 09:00:25.568834384+02:00,582,4370,True
2019-06-03 09:00:25.707216255+02:00,555,4470,True
2019-06-03 09:00:25.825986070+02:00,625,4650,False
2019-06-03 09:00:25.894988968+02:00,619,4373,True
2019-06-03 09:00:26.182067874+02:00,605,4518,True
2019-06-03 09:00:26.240716230+02:00,571,4490,True
2019-06-03 09:00:26.256413567+02:00,585,4359,True
2019-06-03 09:00:26.296204359+02:00,632,4459,True
2019-06-03 09:00:26.329549607+02:00,615,4475,True
2019-06-03 09:00:26.412494401+02:00,609,4396,True
2019-06-03 09:00:26.449572770+02:00,596,4719,False
2019-06-03 09:00:26.551812470+02:00,581,4430,True
2019-06-03 09:00:26.996316960+02:00,607,4417,True
2019-06-03 09:00:27.102371657+02:00,585,4604,False
2019-06-03 09:00:27.165948147+02:00,569,4372,True
2019-06-03 09:00:27.210526541+02:00,591,4340,True
2019-06-03 09:00:27.263445369+02:00,601,5285,True
2019-06-03 09:00:27.313400358+02:00,594,4349,True
2019-06-03 09:00:27.319570567+02:00,584,4449,True
2019-06-03 09:00:27.413869595+02:00,599,4779,True
2019-06-03 09:00:27.506182440+02:00,612,4335,True
2019-06-03 09:00:27.542971654+02:00,575,4405,True
2019-06-03 09:00:27.640023086+02:00,584,4416,True
2019-06-03 09:00:28.174607882+02:00,578,4491,True
2019-06-03 09:00:28.176144746+02:00,597,4419,True
2019-06-03 09:00:28.209860854+02:00,596,4389,True
2019-06-03 09:00:28.217310005+02:00,615,4613,True
2019-06-03 09:00:28.304426641+02:00,633,4431,True
2019-06-03 09:00:28.498731125+02:00,571,4471,True
2019-06-03 09:00:28.554591540+02:00,618,4392,True
2019-06-03 09:00:28.792723634+02:00,575,5037,False
2019-06-03 09:00:29.123114519+02:00,620,4514,False
2019-06-03 09:00:29.133205387+02:00,603,4621,False
2019-06-03 09:00:29.145394392+02:00,612,4494,False
2019-06-03 09:00:29.350927296+02:00,610,5412,False
2019-06-03 09:00:29.407647571+02:00,565,4319,True
2019-06-03 09:00:29.566851380+02:00,584,4443,True
2019-06-03 09:00:29.582244812+02:00,584,4549,True
2019-06-03 09:00:29.681018854+02:00,634,4271,True
2019-06-03 09:00:29.715309966+02:00,616,4580,False
2019-06-03 09:00:29.748443326+02:00,615,4462,True
2019-06-03 09:00:29.783372796+02:00,607,4413,True
2019-06-03 09:00:29.865460166+02:00,601,4379,True
2019-06-03 09:00:30.215717917+02:00,590,4416,True
2019-06-03 09:00:30.266623292+02:00,623,4378,True
2019-06-03 09:00:30.282124140+02:00,612,4437,True
2019-06-03 09:00:30.304721873+02:00,627,4343,True
2019-06-03 09:00:30.601111774+02:00,577,4439,True
2019-06-03 09:00:30.651226570+02:00,620,4676,False
2019-06-03 09:00:30.680598461+02:00,598,5057,False
2019-06-03 09:00:31.507335189+02:00,602,5568,False
2019-06-03 09:00:31.611158039+02:00,569,4399,True
2019-06-03 09:00:31.642868338+02:00,629,5352,False
2019-06-03 09:00:31.934048217+02:00,564,4400,True
2019-06-03 09:00:31.969583462+02:00,608,4349,True
2019-06-03 09:00:32.069461523+02:00,624,4436,True
2019-06-03 09:00:32.212026647+02:00,600,4462,True
2019-06-03 09:00:32.302570046+02:00,599,4388,True
2019-06-03 09:00:32.335970735+02:00,628,4414,True
2019-06-03 09:00:32.505332983+02:00,592,4453,True
2019-06-03 09:00:32.508982765+02:00,568,4423,True
2019-06-03 09:00:32.527200308+02:00,577,4437,True
2019-06-03 09:00:32.566803725+02:00,583,4456,True
2019-06-03 09:00:32.764750828+02:00,627,4486,True
2019-06-03 09:00:32.891964733+02:00,564,4395,True
2019-06-03 09:00:32.959981948+02:00,578,4540,False
2019-06-03 09:00:33.033871431+02:00,592,4445,True
2019-06-03 09:00:33.102899042+02:00,605,4394,True
2019-06-03 09:00:33.264111403+02:00,621,4347,True
2019-06-03 09:00:33.331892781+02:00,573,4421,True
2019-06-03 09:00:33.331963505+02:00,623,4484,False
2019-06-03 09:00:33.420117724+02:00,584,4356,True
2019-06-03 09:00:33.452010752+02:00,587,5618,True
2019-06-03 09:00:33.460377426+02:00,631,4303,True
2019-06-03 09:00:33.502419700+02:00,574,4525,True
2019-06-03 09:00:33.506633768+02:00,589,4397,True
2019-06-03 09:00:33.587261864+02:00,571,4441,True
2019-06-03 09:00:33.809556235+02:00,619,4351,True
2019-06-03 09:00:33.827910201+02:00,602,4653,False
2019-06-03 09:00:34.030040848+02:00,608,4446,True
2019-06-03 09:00:34.052137982+02:00,625,4393,True
2019-06-03 09:00:34.078009129+02:00,554,4379,True
2019-06-03 09:00:34.107792491+02:00,614,4363,True
2019-06-03 09:00:34.109499557+02:00,586,4379,True
2019-06-03 09:00:34.374598256+02:00,551,4567,True
2019-06-03 09:00:34.408969572+02:00,593,4398,True
2019-06-03 09:00:34.717770944+02:00,611,4382,True
2019-06-03 09:00:34.745169667+02:00,556,4544,False
2019-06-03 09:00:34.817760206+02:00,589,4349,True
2019-06-03 09:00:34.818666650+02:00,565,4429,True
2019-06-03 09:00:34.963828007+02:00,584,4400,True
2019-06-03 09:00:34.972379382+02:00,633,4430,True
2019-06-03 09:00:35.043944797+02:00,579,4470,True
2019-06-03 09:00:35.188820981+02:00,621,4470,True
2019-06-03 09:00:35.213361353+02:00,645,4630,True
2019-06-03 09:00:35.399823291+02:00,609,4362,True
2019-06-03 09:00:35.438086980+02:00,589,4423,True
2019-06-03 09:00:35.508565003+02:00,580,4889,False
2019-06-03 09:00:35.513355322+02:00,623,4762,True
2019-06-03 09:00:35.627810866+02:00,584,4737,True
2019-06-03 09:00:35.891195501+02:00,641,4528,False
2019-06-03 09:00:35.981113421+02:00,578,4479,True
2019-06-03 09:00:36.037850903+02:00,582,5083,True
2019-06-03 09:00:36.116999141+02:00,563,4874,False
2019-06-03 09:00:36.126445971+02:00,589,4402,True
2019-06-03 09:00:36.212169678+02:00,611,4527,True
2019-06-03 09:00:36.388436181+02:00,609,4410,True
2019-06-03 09:00:36.399942190+02:00,595,4451,True
2019-06-03 09:00:36.442935633+02:00,625,4412,True
2019-06-03 09:00:36.467089242+02:00,621,4539,False
2019-06-03 09:00:36.521335858+02:00,612,4383,True
2019-06-03 09:00:36.546828088+02:00,568,4577,False
2019-06-03 09:00:36.648776599+02:00,633,4324,True
2019-06-03 09:00:36.870094093+02:00,607,4384,True
2019-06-03 09:00:36.887228132+02:00,608,4430,True
2019-06-03 09:00:36.895690774+02:00,587,4668,True
2019-06-03 09:00:36.958273273+02:00,572,5635,False
2019-06-03 09:00:36.989972607+02:00,598,5085,True
2019-06-03 09:00:36.999261519+02:00,579,4297,True
2019-06-03 09:00:37.102027290+02:00,598,4855,False
2019-06-03 09:00:37.143979523+02:00,631,4449,True
2019-06-03 09:00:37.248918201+02:00,632,4452,True
2019-06-03 09:00:37.447633304+02:00,610,4567,False
2019-06-03 09:00:37.604379156+02:00,626,4394,True
2019-06-03 09:00:37.689258295+02:00,609,4318,True
2019-06-03 09:00:37.779203038+02:00,628,4424,True
2019-06-03 09:00:37.821868723+02:00,634,5729,True
2019-06-03 09:00:38.003974268+02:00,583,4785,True
2019-06-03 09:00:38.171701139+02:00,584,4427,True
2019-06-03 09:00:38.283190810+02:00,610,4399,True
2019-06-03 09:00:38.394327671+02:00,608,4546,False
2019-06-03 09:00:38.443740385+02:00,618,4920,True
2019-06-03 09:00:38.905065477+02:00,612,4546,False
2019-06-03 09:00:38.935786845+02:00,598,4454,True
2019-06-03 09:00:38.954801706+02:00,638,5162,False
2019-06-03 09:00:38.969745745+02:00,602,4406,True
2019-06-03 09:00:39.014472652+02:00,617,4350,True
2019-06-03 09:00:39.112123538+02:00,624,4549,True
2019-06-03 09:00:39.188675600+02:00,613,5262,False
2019-06-03 09:00:39.354723741+02:00,584,4426,True
2019-06-03 09:00:39.492444586+02:00,601,5147,False
2019-06-03 09:00:39.652811646+02:00,569,4490,True
2019-06-03 09:00:39.716890167+02:00,595,4414,True
2019-06-03 09:00:39.807705968+02:00,598,4376,True
2019-06-03 09:00:39.878070241+02:00,583,4795,False
2019-06-03 09:00:39.891858200+02:00,565,4516,True
2019-06-03 09:00:40.011146880+02:00,620,4449,True
2019-06-03 09:00:40.034289439+02:00,584,4411,True
2019-06-03 09:00:40.150790257+02:00,606,4491,True
2019-06-03 09:00:40.239210144+02:00,591,4405,True
2019-06-03 09:00:40.339489554+02:00,582,4375,True
2019-06-03 09:00:40.487337527+02:00,580,4353,True
2019-06-03 09:00:40.580249788+02:00,567,4321,True
2019-06-03 09:00:40.708278451+02:00,564,4457,True
2019-06-03 09:00:40.787277105+02:00,614,4353,True
2019-06-03 09:00:40.925480185+02:00,638,4501,True
2019-06-03 09:00:40.948026066+02:00,568,4360,True
2019-06-03 09:00:41.195630422+02:00,573,6182,True
2019-06-03 09:00:41.224488036+02:00,594,4577,False
2019-06-03 09:00:41.281991038+02:00,584,4537,True
2019-06-03 09:00:41.321615015+02:00,600,4409,True
2019-06-03 09:00:41.529577283+02:00,567,4413,True
2019-06-03 09:00:41.774749852+02:00,624,4384,True
2019-06-03 09:00:42.096382458+02:00,608,4585,False
2019-06-03 09:00:42.147056917+02:00,622,4575,False
2019-06-03 09:00:42.228993004+02:00,593,4377,True
2019-06-03 09:00:42.238879958+02:00,558,4381,True
2019-06-03 09:00:42.354303928+02:00,589,4573,False
2019-06-03 09:00:42.410517314+02:00,619,4469,True
2019-06-03 09:00:42.436451887+02:00,599,4411,True
2019-06-03 09:00:42.483420882+02:00,583,4449,True
2019-06-03 09:00:42.489058232+02:00,577,4513,True
2019-06-03 09:00:42.740671394+02:00,606,4439,True
2019-06-03 09:00:42.855148962+02:00,581,4434,True
2019-06-03 09:00:42.855709238+02:00,550,4507,True
2019-06-03 09:00:42.897595874+02:00,607,4492,True
2019-06-03 09:00:42.908771680+02:00,600,4384,True
2019-06-03 09:00:43.112488821+02:00,579,4534,True
2019-06-03 09:00:43.156351767+02:00,572,4427,True
2019-06-03 09:00:43.226745024+02:00,572,4471,True
2019-06-03 09:00:43.363891559+02:00,557,4487,True
2019-06-03 09:00:43.383273766+02:00,591,4526,False
2019-06-03 09:00:43.440681540+02:00,633,5240,False
2019-06-03 09:00:43.499842955+02:00,588,4389,True
2019-06-03 09:00:43.682188500+02:00,635,4459,True
2019-06-03 09:00:43.723049297+02:00,590,4383,True
2019-06-03 09:00:43.734615676+02:00,590,5472,False
2019-06-03 09:00:43.982892496+02:00,582,4495,True
2019-06-03 09:00:44.218058815+02:00,606,5827,False
2019-06-03 09:00:44.234044493+02:00,596,4605,False
2019-06-03 09:00:44.279974383+02:00,607,4513,False
2019-06-03 09:00:44.291228934+02:00,617,5523,False
2019-06-03 09:00:44.364517830+02:00,569,4552,True
2019-06-03 09:00:44.401962735+02:00,637,4636,False
2019-06-03 09:00:44.615142933+02:00,597,4471,True
2019-06-03 09:00:44.783697558+02:00,570,4340,True
2019-06-03 09:00:44.827246670+02:00,585,4730,False
2019-06-03 09:00:44.943845326+02:00,599,4400,True
2019-06-03 09:00:44.956237751+02:00,628,5527,False
2019-06-03 09:00:45.073735946+02:00,592,4409,True
2019-06-03 09:00:45.134237903+02:00,611,4336,True
2019-06-03 09:00:45.146340766+02:00,578,4637,False
2019-06-03 09:00:45.220710650+02:00,615,4375,True
2019-06-03 09:00:45.228917805+02:00,555,4449,True
2019-06-03 09:00:45.291723712+02:00,634,4427,True
2019-06-03 09:00:45.326423623+02:00,599,4427,True
2019-06-03 09:00:45.393799793+02:00,574,5079,False
2019-06-03 09:00:45.457471627+02:00,577,5357,False
2019-06-03 09:00:45.546533433+02:00,581,4380,True
2019-06-03 09:00:45.632749820+02:00,608,5147,False
2019-06-03 09:00:45.768653211+02:00,629,4554,False
2019-06-03 09:00:45.821262772+02:00,576,4478,True
2019-06-03 09:00:45.892453955+02:00,592,4440,True
2019-06-03 09:00:45.929701451+02:00,616,4294,True
2019-06-03 09:00:45.952669757+02:00,570,4386,True
2019-06-03 09:00:46.002002444+02:00,642,4406,True
2019-06-03 09:00:46.142629666+02:00,605,4369,True
2019-06-03 09:00:46.327227322+02:00,609,4316,True
2019-06-03 09:00:46.395273809+02:00,592,4421,True
2019-06-03 09:00:46.472331935+02:00,572,4442,True
2019-06-03 09:00:46.478700716+02:00,610,4365,True
2019-06-03 09:00:46.589869124+02:00,590,4453,True
2019-06-03 09:00:46.651664084+02:00,581,4448,True
2019-06-03 09:00:46.653388142+02:00,563,4458,True
2019-06-03 09:00:46.663971960+02:00,604,4455,True
2019-06-03 09:00:46.901169845+02:00,576,4422,True
2019-06-03 09:00:47.015732869+02:00,582,4679,False
2019-06-03 09:00:47.186993808+02:00,600,4838,True
2019-06-03 09:00:47.444111116+02:00,579,4418,True
2019-06-03 09:00:47.451839834+02:00,629,4900,True
2019-06-03 09:00:47.558322191+02:00,576,4504,True
2019-06-03 09:00:47.603589314+02:00,590,4752,False
2019-06-03 09:00:47.677475807+02:00,619,4454,True
2019-06-03 09:00:47.970890533+02:00,613,4351,True
2019-06-03 09:00:48.139997973+02:00,600,4485,True
2019-06-03 09:00:48.206547516+02:00,619,4479,True
2019-06-03 09:00:48.278531247+02:00,563,4503,True
2019-06-03 09:00:48.556541426+02:00,629,4377,True
2019-06-03 09:00:48.657121769+02:00,576,5346,False
2019-06-03 09:00:48.697506004+02:00,557,4539,True
2019-06-03 09:00:48.712161430+02:00,634,4499,True
2019-06-03 09:00:48.712365219+02:00,626,4476,False
2019-06-03 09:00:48.829014677+02:00,619,4583,False
2019-06-03 09:00:49.298938430+02:00,556,4436,True
2019-06-03 09:00:49.413145634+02:00,590,4488,True
2019-06-03 09:00:49.522502180+02:00,628,4399,True
2019-06-03 09:00:49.612498705+02:00,574,4695,False
2019-06-03 09:00:49.670074177+02:00,607,4508,True
2019-06-03 09:00:49.797854492+02:00,601,4410,True
2019-06-03 09:00:49.815454029+02:00,581,4381,True
2019-06-03 09:00:49.827166847+02:00,617,4487,True
2019-06-03 09:00:49.855284931+02:00,599,4344,True
2019-06-03 09:00:49.872295016+02:00,630,4450,True
2019-06-03 09:00:49.889610783+02:00,564,4468,True
2019-06-03 09:00:50.078056885+02:00,616,4396,True
2019-06-03 09:00:50.083940298+02:00,637,5286,False
2019-06-03 09:00:50.200552102+02:00,597,4457,True
2019-06-03 09:00:50.272059127+02:00,614,4521,True
2019-06-03 09:00:50.283465077+02:00,582,4498,True
2019-06-03 09:00:50.315406318+02:00,623,4522,True
2019-06-03 09:00:50.391468622+02:00,592,4413,True
2019-06-03 09:00:50.417394032+02:00,597,5569,True
2019-06-03 09:00:50.524422809+02:00,551,4483,True
2019-06-03 09:00:50.717652538+02:00,598,4619,False
2019-06-03 09:00:50.724349456+02:00,584,4341,True
2019-06-03 09:00:50.800963562+02:00,589,4401,True
